Datetime,Close,High,Low,Open,Volume
2025-11-18 18:15:00+00:00,6669.25,6680.0,6668.5,6676.5,0
2025-11-18 18:30:00+00:00,6674.75,6687.5,6667.0,6669.25,55003
2025-11-18 18:45:00+00:00,6666.25,6685.5,6663.0,6674.75,56305
2025-11-18 19:00:00+00:00,6675.75,6678.5,6664.25,6666.25,48275
2025-11-18 19:15:00+00:00,6665.25,6678.5,6661.5,6675.75,45064
2025-11-18 19:30:00+00:00,6670.5,6685.5,6660.25,6665.25,59971
2025-11-18 19:45:00+00:00,6680.0,6684.5,6665.5,6670.5,54656
2025-11-18 20:00:00+00:00,6667.25,6685.5,6663.5,6680.0,52942
2025-11-18 20:15:00+00:00,6660.25,6671.0,6650.75,6667.25,62315
2025-11-18 20:30:00+00:00,6652.5,6663.75,6651.75,6660.0,53042
2025-11-18 20:45:00+00:00,6637.75,6659.5,6636.5,6652.25,153903
2025-11-18 21:00:00+00:00,6633.25,6638.5,6624.75,6637.75,60439
2025-11-18 21:15:00+00:00,6630.75,6634.0,6626.75,6633.5,7868
2025-11-18 21:30:00+00:00,6628.75,6633.75,6628.25,6630.5,6001
2025-11-18 21:45:00+00:00,6627.75,6631.75,6625.5,6628.5,5035
2025-11-18 23:00:00+00:00,6638.75,6644.5,6629.5,6630.75,2613
2025-11-18 23:15:00+00:00,6645.5,6647.0,6639.0,6639.0,2862
2025-11-18 23:30:00+00:00,6645.0,6647.5,6639.25,6645.75,2895
2025-11-18 23:45:00+00:00,6641.75,6645.25,6640.75,6645.0,1986
2025-11-19 00:00:00+00:00,6630.75,6643.75,6629.75,6641.75,4796
2025-11-19 00:15:00+00:00,6626.25,6632.25,6622.5,6630.75,4581
2025-11-19 00:30:00+00:00,6637.0,6638.0,6624.5,6626.5,3610
2025-11-19 00:45:00+00:00,6635.75,6639.0,6631.25,6636.75,3044
2025-11-19 01:00:00+00:00,6631.0,6637.0,6627.5,6635.75,4043
2025-11-19 01:15:00+00:00,6641.75,6647.5,6631.0,6631.0,4877
2025-11-19 01:30:00+00:00,6638.5,6644.5,6636.5,6642.0,3357
2025-11-19 01:45:00+00:00,6633.75,6641.75,6629.0,6638.5,3414
2025-11-19 02:00:00+00:00,6645.0,6647.5,6634.0,6634.0,3928
2025-11-19 02:15:00+00:00,6646.75,6648.5,6640.75,6645.0,2771
2025-11-19 02:30:00+00:00,6648.75,6652.25,6646.75,6647.0,3275
2025-11-19 02:45:00+00:00,6650.5,6651.25,6647.0,6648.75,1828
2025-11-19 03:00:00+00:00,6645.5,6652.5,6645.25,6650.75,2192
2025-11-19 03:15:00+00:00,6641.25,6645.75,6637.0,6645.5,2695
2025-11-19 03:30:00+00:00,6637.0,6641.25,6635.75,6641.0,2014
2025-11-19 03:45:00+00:00,6630.75,6637.25,6629.75,6637.0,2438
2025-11-19 04:00:00+00:00,6626.0,6632.25,6621.5,6630.75,3307
2025-11-19 04:15:00+00:00,6630.75,6632.25,6625.75,6626.0,2537
2025-11-19 04:30:00+00:00,6629.25,6631.0,6622.25,6630.75,2728
2025-11-19 04:45:00+00:00,6627.75,6634.5,6626.5,6629.25,2194
2025-11-19 05:00:00+00:00,6627.75,6631.5,6626.75,6629.25,2337
2025-11-19 05:15:00+00:00,6626.5,6633.5,6626.0,6627.5,2058
2025-11-19 05:30:00+00:00,6616.0,6628.0,6615.25,6626.5,3459
2025-11-19 05:45:00+00:00,6630.5,6634.0,6613.25,6616.25,4552
2025-11-19 06:00:00+00:00,6629.75,6632.5,6626.75,6630.25,2313
2025-11-19 06:15:00+00:00,6632.5,6636.5,6629.75,6630.0,2560
